+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+     Fluorescense progressions used for the fit of the potentials published in the
+     article 'The 1S+1S asymptote of Sr2 studied by Fourier-transform spectroscopy' 
+   
+
+  A. Stein, H. Knoeckel, E. Tiemann
+  Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+  30167 Hannover, Germany
+   
+
+  2006-2010 Hannover
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations:

Isotope 1 and 2:  mass numbers of the isotopes

v', J', v", J":   vibrational and rotational quantum numbers of the excited and
                  absorbing level, respectively. 
				  v'=-1 means that the vibrational quantum number of the excited 
				  state is not assigned until now or that the transition belongs 
				  to a different excited state. PA means that the transitions is 
                  a PA resonance taken from Phys. Rev. A 78, 062708 (2008)				  

line frequency:   frequency of transition [cm-1]

uncertainty:      The estimated experimental uncertainty of transition [cm-1] 

obs-calc:         observed minus calculated values for the potential fit of the ground state 


 Isotope 1   Isotope 2   v'  J'  v''  J''   line frequency   uncertainty  obs-calc
        86          88   0  174  13   175       17145.5253        0.010    0.0067
        86          88   0  174  14   173       17132.5125        0.005    0.0034
        86          88   0  174  14   175       17122.9351        0.005   -0.0114
        86          88   0  174  15   173       17110.6618        0.010    0.0091
        86          88   0  174  15   175       17101.2741        0.005    0.0063
        86          88   0  174  16   173       17089.6871        0.005   -0.0011
        86          88   0  174  16   175       17080.4887        0.010    0.0034
        86          88   0  174  17   173       17069.6317        0.010    0.0128
        86          88   0  174  17   175       17060.6117        0.005    0.0089
        86          88   0  174  18   173       17050.4418        0.005   -0.0074
        86          88   0  174  18   175       17041.6259        0.005    0.0008
        86          88   0  174  19   173       17032.1695        0.005   -0.0148
        86          88   0  174  19   175       17023.5538        0.010   -0.0043
        86          88   0  174  20   173       17014.8249        0.010   -0.0061
        86          88   0  174  20   175       17006.4081        0.005   -0.0013
        86          88   0  174  21   173       16998.4037        0.010    0.0059
        86          88   0  174  21   175       16990.1948        0.005    0.0064
        86          88   1   33   2    32       17392.7776        0.010   -0.0041
        86          88   1   33   2    34       17390.4566        0.005   -0.0054
        86          88   1   33   3    32       17354.8292        0.005   -0.0004
        86          88   1   33   3    34       17352.5290        0.005   -0.0046
        86          88   1   33   4    32       17317.6819        0.010   -0.0033
        86          88   1   33   4    34       17315.4166        0.010    0.0033
        86          88   1   33   5    34       17279.0946        0.005   -0.0052
        86          88   1   33   6    32       17245.8144        0.005   -0.0008
        86          88   1   33   6    34       17243.5921        0.005    0.0001
        86          88   1   33   7    32       17211.0786        0.010   -0.0082
        86          88   1   33   7    34       17208.8879        0.005   -0.0005
        86          88   1   33   8    32       17177.1604        0.010   -0.0002
        86          88   1   33   8    34       17174.9887        0.005    0.0014
        86          88   1   33   9    32       17144.0364        0.005    0.0016
        86          88   1   33   9    34       17141.8917        0.005    0.0048
        86          88   1   33  10    32       17111.7035        0.010   -0.0040
        86          88   1   33  10    34       17109.5768        0.010   -0.0084
        86          88   1   33  16    32       16934.3763        0.010   -0.0005
        86          88   1   33  16    34       16932.4115        0.005   -0.0032
        86          88   1   33  17    32       16907.5697        0.005    0.0004
        86          88   1   33  18    32       16881.5351        0.005   -0.0039
        86          88   1   33  18    34       16879.6268        0.010   -0.0059
        86          88   1   33  19    32       16856.2834        0.005    0.0004
        86          88   1   33  19    34       16854.4127        0.005    0.0076
        86          88   1   33  20    32       16831.8015        0.005    0.0034
        86          88   1   33  20    34       16829.9476        0.010   -0.0014
        86          88   1   33  21    32       16808.0834        0.005    0.0023
        86          88   1   33  21    34       16806.2674        0.005    0.0062
        86          88   1   33  22    32       16785.1220        0.010   -0.0069
        86          88   1   33  22    34       16783.3489        0.010    0.0104
        86          88   1   33  23    32       16762.9389        0.010    0.0008
        86          88   1   33  23    34       16761.1806        0.005    0.0030
        86          88   1   36   8    35       17178.4842        0.005   -0.0005
        86          88   1   36   8    37       17176.1135        0.005   -0.0043
        86          88   1   36   9    35       17145.4116        0.010    0.0141
        86          88   1   36   9    37       17143.0605        0.010    0.0021
        86          88   1   36  18    35       16883.2679        0.005   -0.0017
        86          88   1   36  18    37       16881.1965        0.005    0.0025
        86          88   1   38   3    37       17356.7995        0.005    0.0009
        86          88   1   38   3    39       17354.1580        0.010   -0.0037
        86          88   1   38   4    37       17319.7186        0.005    0.0016
        86          88   1   38   4    39       17317.1048        0.005   -0.0028
        86          88   1   38   5    37       17283.4482        0.010    0.0055
        86          88   1   38   5    39       17280.8567        0.005   -0.0046
        86          88   1   38   7    37       17213.3119        0.010    0.0010
        86          88   1   38   7    39       17210.7888        0.010    0.0025
        86          88   1   38   8    37       17179.4495        0.010   -0.0008
        86          88   1   38   8    39       17176.9526        0.005   -0.0019
        86          88   1   38   9    37       17146.3943        0.005    0.0035
        86          88   1   38   9    39       17143.9234        0.005   -0.0009
        86          88   1   38  10    37       17114.1249        0.005   -0.0056
        86          88   1   38  10    39       17111.6903        0.005   -0.0032
        86          88   1   38  16    37       16937.2183        0.005    0.0000
        86          88   1   38  16    39       16934.9605        0.005   -0.0051
        86          88   1   38  17    37       16910.4897        0.005    0.0064
        86          88   1   38  17    39       16908.2619        0.005   -0.0007
        86          88   1   38  18    37       16884.5282        0.005    0.0018
        86          88   1   38  18    39       16882.3416        0.010    0.0035
        86          88   1   38  19    37       16859.3502        0.010    0.0054
        86          88   1   38  19    39       16857.1913        0.005    0.0021
        86          88   1   38  20    37       16834.9317        0.010   -0.0034
        86          88   1   38  20    39       16832.8115        0.005   -0.0012
        86          88   1   38  21    37       16811.2982        0.010    0.0039
        86          88   1   38  21    39       16809.2006        0.005   -0.0050
        86          88   1   38  22    37       16788.4185        0.005   -0.0008
        86          88   1   38  22    39       16786.3674        0.010    0.0029
        86          88   1   38  23    37       16766.3059        0.010   -0.0008
        86          88   1   38  23    39       16764.2927        0.005    0.0063
        86          88   1   38  24    37       16744.9528        0.005   -0.0006
        86          88   1   38  24    39       16742.9692        0.005    0.0011
        86          88   1   38  25    37       16724.3598        0.005    0.0037
        86          88   1   38  25    39       16722.4096        0.010    0.0034
        86          88   1   44   3    43       17359.4796        0.005   -0.0062
        86          88   1   44   3    45       17356.4412        0.010    0.0007
        86          88   1   44   4    43       17322.4920        0.005    0.0006
        86          88   1   44   4    45       17319.4641        0.005   -0.0140
        86          88   1   44   5    43       17286.3121        0.005    0.0068
        86          88   1   44   5    45       17283.3206        0.010   -0.0037
        86          88   1   44   7    43       17216.3563        0.010    0.0034
        86          88   1   44   7    45       17213.4480        0.005    0.0103
        86          88   1   44   8    43       17182.5844        0.010    0.0009
        86          88   1   44   8    45       17179.7041        0.010    0.0023
        86          88   1   44   9    43       17149.6149        0.005   -0.0014
        86          88   1   44   9    45       17146.7770        0.005    0.0086
        86          88   1   44  10    43       17117.4482        0.005   -0.0010
        86          88   1   44  10    45       17114.6331        0.010   -0.0024
        86          88   1   44  18    43       16888.6427        0.005    0.0119
        86          88   1   44  18    45       16886.1042        0.010   -0.0012
        86          88   1   44  19    43       16863.5508        0.005   -0.0018
        86          88   1   44  19    45       16861.0639        0.005   -0.0013
        86          88   1   44  20    43       16839.2480        0.010    0.0003
        86          88   1   44  20    45       16836.7982        0.005   -0.0006
        86          88   1   44  21    43       16815.7123        0.010   -0.0008
        86          88   1   44  21    45       16813.3065        0.005    0.0033
        86          88   1   44  22    43       16792.9546        0.010    0.0090
        86          88   1   44  22    45       16790.5705        0.010   -0.0046
        86          88   1   44  23    43       16770.9369        0.005   -0.0051
        86          88   1   44  23    45       16768.6192        0.010    0.0077
        86          88   1   44  24    43       16749.6949        0.010   -0.0042
        86          88   1   44  24    45       16747.4119        0.005    0.0026
        86          88   1   44  25    43       16729.2086        0.010   -0.0052
        86          88   1   44  25    45       16726.9550        0.010   -0.0102
